Code,smlmitzrach,shmmitzrach,makor,edible,psolet,ahuz_ibud_nozlim,protein,total_fat,carbohydrates,food_energy,alcohol,moisture,total_dietary_fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,vitamin_a_iu,carotene,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,folate,folate_dfe,vitamin_b12,cholesterol,saturated_fat,butyric,caproic,caprylic,capric,lauric,myristic,palmitic,stearic,oleic,linoleic,linolenic,arachidonic,docosahexanoic,palmitoleic,parinaric,gadoleic,eicosapentaenoic,erucic,docosapentaenoic,mono_unsaturated_fat,poly_unsaturated_fat,vitamin_d,total_sugars,trans_fatty_acids,vitamin_a_re,isoleucine,leucine,valine,lysine,threonine,methionine,phenylalanine,tryptophan,histidine,tyrosine,arginine,cystine,serine,vitamin_k,pantothenic_acid,iodine,selenium,sugar_alcohols,choline,biotin,manganese,fructose,tarich_ptiha,tarich_idkun,shmmitzrach,תרומה לשומן בטני
5,11825010,"מי גבינה, חומצי, נוזלי",1,0,0,0,0.8,0.1,5.1,24,0,93.4,0,103,0.08,10,78,143,48,0.43,0,7,0,0,0.1,0.04,0.14,0.08,0.04,2,0,0.18,1,0.06,0.004,0.001,0.001,0.002,0.001,0.008,0.025,0.01,0.019,0.003,0,0,0,0.004,0,0,0,0,0,0.03,0,0,5.1,0,2,0.038,0.072,0.038,0.065,0.038,0.014,0.025,0.016,0.015,0.019,0.021,0.014,0.035,0,0.38,0,1.8,0,16,0,0,0,0,17/01/2021 17:57:43:507,"מי גבינה, חומצי, נוזלי",מותר
10,56207228,"בורגול, מבושל עם שעועית לבנה ועגבניות",4,0,0,10,5.3,1.7,15.3,112,0,70.7,5.1,39.7,1.54,45.2,78.5,295.8,141.2,0.73,0.15,0.9,140,0.4,4.2,0.08,0.02,0.93,0.1,53.3,0,0,0,0.25,0,0,0.002,0,0,0,0.218,0.033,1.011,0.259,0.039,0,0,0.018,0,0.004,0,0,0,1.04,0.3,0,1,0,13,0.212,0.383,0.253,0.277,0.194,0.077,0.265,0.067,0.134,0.146,0.287,0.078,0.266,4.47,0.27,0,2.1,0,15,0,0.7,0.4,0,05/09/2021 16:50:16:21,"בורגול, מבושל עם שעועית לבנה ועגבניות",מותר
14,11000000,חלב אם,1,0,0,0,1,4.4,6.9,70,0,87.5,0,32,0.03,3,14,51,17,0.17,0.05,0,7,0.1,5,0.01,0.04,0.18,0.01,5,0,0.05,14,2.01,0,0,0,0.063,0.256,0.321,0.919,0.293,1.475,0.374,0.052,0.026,0,0.129,0,0.04,0,0,0,1.66,0.5,0.1,6.9,0,61,0.056,0.095,0.063,0.068,0.046,0.021,0.046,0.017,0.023,0.053,0.043,0.019,0.043,0.3,0.22,0,1.8,0,16,0,0,0,0,30/10/2019 19:28:41:703,חלב אם,מותר
15,11111009,"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",3,0,0,0,3.3,3,4.6,60,0,87.1,0,100,0.03,9.9,83.5,131.2,50,0.37,0.03,149.5,6,0.1,0,0.05,0.17,0.09,0.04,5,0,0.45,9,1.8,0.069,0.069,0.069,0.069,0.071,0.274,0.765,0.337,0.75,0.111,0.069,0,0,0,0,0,0,0,0,0.75,0.18,1.2,4.6,0,25.8,0.171,0.313,0.216,0.277,0.14,0.087,0.171,0.042,0.1,0.167,0.094,0.02,0.199,0.28,0.37,0,3.7,0,14.2,0,0,0,0,08/02/2020 15:02:53:487,"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",מותר
17,11111029,"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",3,0,0,0,3,1,4.6,42,0,87.7,1.7,180,0.03,10,86.4,136.4,40,0.38,0.01,202.1,2,0,0,0.02,0.17,0.09,0.03,4.5,0,0.43,4,0.65,0.025,0.019,0.013,0.028,0.03,0.094,0.296,0.13,0.258,0.031,0.004,0,0,0.018,0,0,0,0,0,0.29,0.04,0.8,4.6,0,4,0.155,0.284,0.196,0.251,0.127,0.078,0.155,0,0.09,0.151,0.085,0.018,0.181,0.1,0.33,0,3,0,16.1,0,0,0,0,0,"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",מותר
19,11111059,"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",3,0,0,0,3.2,3,4.6,58,0,85.7,1.5,180,0.03,9.8,82.4,129.5,40,0.36,0.03,149.5,6,0.1,0,0.05,0.17,0.09,0.04,4.9,0,0.44,10.5,1.8,0.069,0.069,0.069,0.069,0.071,0.274,0.765,0.337,0.75,0.111,0.069,0,0,0,0,0,0,0,0,0.75,0.18,1.2,4.6,0,25.8,0.166,0.304,0.209,0.268,0.136,0.084,0.166,0.04,0.097,0.162,0.091,0.019,0.193,0.28,0.37,0,3.6,0,14,0,0,0,0,0,"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",מותר
20,11111069,"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",3,0,0,0,3,3,4.7,57,0,86.3,1,100,0.03,9.7,81.4,127.8,40,0.36,0.02,149.5,6,1,0,0.05,0.16,0.09,0.04,4.8,0,0.44,11,1.8,0.069,0.069,0.069,0.069,0.071,0.274,0.765,0.337,0.75,0.111,0.069,0,0,0,0,0,0,0,0,0.75,0.18,0.7,4.7,0,25.8,0.155,0.285,0.196,0.251,0.128,0.079,0.155,0.04,0.09,0.151,0.086,0.018,0.181,0.28,0.36,0,3.6,0,13.8,0,0,0,0,0,"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",מותר
25,11112219,"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",3,0,0,0,3.3,1,5.1,43,0,88.6,0,100,0.03,11.1,95.5,150.7,50,0.42,0.01,202.1,2,0,0,0.02,0.19,0.09,0.04,5,0,0.47,3,0.6,0.025,0.019,0.013,0.028,0.03,0.094,0.296,0.13,0.258,0.031,0.004,0,0,0.018,0,0,0,0,0,0.29,0.04,1.24,5.1,0,64,0.17,0.312,0.215,0.276,0.14,0.086,0.17,0.043,0.099,0.166,0.094,0.02,0.199,0.1,0.36,0,3.3,0,17.8,0,0,0,0,26/10/2017 10:32:57:623,"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",מותר
29,11113009,"משקה חלב בטעם וניל,3% שומן, טרה",3,0,0,0,2.5,3,12,86,0,80,0,109.6,0.25,12.3,97.4,160.7,46,0.39,0.06,588,6,0.1,0.9,0.04,0.16,0.12,0.04,4.7,0,0.3,9,1.7,0.072,0.042,0.024,0.057,0.063,0.225,0.783,0.528,0.813,0.072,0.033,0,0,0.054,0,0,0,0,0,0.9,0.1,3.3,9.9,0,26,0.13,0.237,0.164,0.209,0.106,0.066,0.13,0,0.076,0.127,0.072,0.015,0.15,0.3,0.28,22,1.8,0,16.1,0,0.1,0,0,0,"משקה חלב בטעם וניל,3% שומן, טרה",מותר
31,11114339,"חלב 2% שומן, כולל דל לקטוז, תנובה",3,0,0,0,3.2,2,4.9,51,0,88.5,0,100,0.03,9.8,81.9,128.7,44,0.36,0.02,243,11,0.1,0,0.05,0.17,0.09,0.04,4.9,0,0.44,6,1.2,0.11,0.11,0.11,0.12,0.45,1.24,0.55,1.22,0.18,0.11,0,0,0,0,0,0,0,0,0,1.22,0.29,0.95,4.6,0,69,0.17,0.31,0.21,0.27,0.14,0.09,0.17,0.04,0.1,0.16,0.09,0.02,0.2,0.45,0.36,0,3.6,0,13.9,0,0,0,0,0,"חלב 2% שומן, כולל דל לקטוז, תנובה",מותר
32,11116000,חלב עזים 4% שומן,1,0,0,0,3.6,4.1,4.5,69,0,87,0,134,0.05,14,111,204,50,0.3,0.05,0,7,0.1,1.3,0.05,0.14,0.28,0.05,1,0,0.07,11,2.67,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.977,0.109,0.04,0,0,0.082,0,0,0,0,0,1.11,0.15,1.3,4.5,0,57,0.207,0.314,0.24,0.29,0.163,0.08,0.155,0.044,0.089,0.179,0.119,0.046,0.181,0.3,0.31,0,1.4,0,16,0,0,0,0,20/11/2017 13:55:21:857,חלב עזים 4% שומן,מותר
33,11116009,"חלב עזים 3.7% שומן, צוריאל",3,0,0,0,3,3.7,4.7,66,0,86.6,0,110,0.05,13.5,106.7,196.1,40,0.29,0.04,177,6,0.1,1.3,0.05,0.13,0.27,0.04,1,0,0.07,11,2.2,0.114,0.084,0.086,0.232,0.111,0.29,0.814,0.394,0.873,0.097,0.036,0,0,0.073,0,0,0,0,0,0.99,0.13,1.16,4.4,0,41.3,0.174,0.265,0.202,0.244,0.137,0.067,0.131,0.037,0.075,0.151,0.1,0.039,0.153,0.27,0.3,0,1.3,0,15.4,0,0,0,0,08/02/2020 15:05:03:453,"חלב עזים 3.7% שומן, צוריאל",מותר
34,11116010,חלב כבשים 7% שומן,1,0,0,0,6,7,5.4,108,0,79.6,0,193,0.1,18.1,158.8,137.7,44,0.54,0.05,147,0,0,4.2,0.06,0.36,0.42,0.06,7,0,0.71,27,4.6,0.204,0.145,0.138,0.4,0.239,0.66,1.622,0.899,1.558,0.181,0.127,0,0,0.128,0,0,0,0,0,1.72,0.31,0,4.5,0,44,0.339,0.589,0.449,0.515,0.269,0.156,0.285,0,0.168,0.282,0.199,0.035,0.494,0,0.41,0,1.7,0,0,0,0,0,0,0,חלב כבשים 7% שומן,מותר
35,11116020,חלב נאקות (גמלים),5,0,0,0,3.1,3,4.7,58,0,88.5,0,116,0.2,13,86,151,61,0.56,0.15,0,0,0,1.9,0,0.06,0,0,0,0,0,0,0,0,0,0.004,0.005,0.03,0.39,1.03,0.47,1.02,0.11,0.053,0,0,0.4,0,0,0,0.022,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/09/2018 16:36:03:243,חלב נאקות (גמלים),מותר
36,11121100,"חלב מיובש, מלא, משוחזר",1,0,0,0,3.2,3.3,4.7,61,0,87.9,0,115,0.06,11,95,164,49,0.42,0.02,0,7,0.1,1.1,0.04,0.15,0.08,0.04,5,0,0.4,12,2.06,0.107,0.03,0.033,0.073,0.076,0.347,0.925,0.351,0.762,0.057,0.025,0,0,0.147,0,0,0,0,0,0.98,0.08,1.3,4.7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,2,0,14.7,0,0,0,0,0,"חלב מיובש, מלא, משוחזר",מותר
37,11122300,"חלב מיובש דל שומן ,אבקה, ללא תוספת ויטמין A",1,0,0,0,35.1,0.7,52.2,358,0,4,0,1231,0.31,117,985,1705,549,4.41,0.04,15,1,0,5.6,0.41,1.74,0.89,0.34,50,0,3.99,18,0.47,0.026,0.006,0.007,0.017,0.013,0.078,0.22,0.08,0.156,0.018,0.011,0,0,0.021,0,0,0,0,0,0.19,0.03,0,52.2,0,4,2.124,3.438,2.349,2.784,1.584,0.88,1.694,0.495,0.952,1.694,1.271,0.325,1.909,0,3.23,0,27.3,0,167.8,0,0,0,0,17/01/2021 18:30:32:573,"חלב מיובש דל שומן ,אבקה, ללא תוספת ויטמין A",מותר
38,11122310,"מי גבינה מיובשים, אבקה, DRIED WHEY",1,0,0,0,11.7,0.5,73.4,339,0,3.5,0,2054,1.24,199,1349,2289,968,6.31,0.05,59,1,0,0.9,0.62,2.06,1.16,0.62,33,0,2.5,3,0.34,0.023,0.008,0.005,0.01,0.006,0.046,0.15,0.06,0.114,0.018,0.003,0,0,0.026,0,0,0,0,0,0.15,0.02,0,73.5,0,17,0.581,1.116,0.579,1.008,0.59,0.221,0.386,0.241,0.23,0.3,0.327,0.211,0.541,0,5.63,0,27.3,0,225,0,0,0,0,17/01/2021 18:28:59:65,"מי גבינה מיובשים, אבקה, DRIED WHEY",מותר
39,11220100,"חלב מרוכז, ממותק, לא מדולל",1,0,0,0,7.9,8.7,54.4,321,0,27.2,0,284,0.19,26,253,371,127,0.94,0.02,267,14,0.2,2.6,0.09,0.42,0.21,0.05,11,0,0.44,34,5.49,0.282,0.167,0.097,0.073,0.18,0.783,2.396,1.209,2.188,0.216,0.121,0,0,0.137,0,0,0,0,0,2.43,0.34,0.2,54.4,0,74,0.479,0.775,0.529,0.627,0.357,0.198,0.382,0.112,0.214,0.382,0.286,0.073,0.43,0,0,0,0,0,89.1,0,0,0,0,17/03/2021 14:05:24:033,"חלב מרוכז, ממותק, לא מדולל",מותר
40,11411109,"יוגורט 4.5% שומן, תנובה",3,0,0,0,3.3,4.5,3.5,68,0,86.7,0,120,0.04,10,79.5,129.6,50,0.49,0.01,137.1,7,0.1,0.4,0.02,0.12,0.06,0.03,5.9,0,0.31,13.5,2.7,0.133,0.091,0.058,0.129,0.154,0.475,1.227,0.439,1.029,0.09,0.037,0,0,0.098,0,0,0,0,0,1.24,0.13,0.14,3.5,0,37.4,0.18,0.333,0.273,0.296,0.135,0.097,0.18,0.02,0.082,0.166,0.099,0.03,0.204,0.28,0.33,0,1.8,0,12.7,0,0,0,0,20/02/2020 15:44:57:053,"יוגורט 4.5% שומן, תנובה",מותר
